Name,YearsAppearing,ImputedProbF,ImputedProbM
ABDUS-SAMI,1,0,1
ABDUSALAM,1,0,1
ABDUSSALAM,2,0,1
ABDUSSAMAD,1,0,1
ABE,14,0,1
ABED,6,0,1
ABEDA,5,1,0
ABEED,1,0,1
ABEEDA,3,1,0
ABEEHA,6,1,0
ABEEL,1,0,1
ABEER,11,0.817482517482517,0.182517482517483
ABEERA,5,1,0
ABEERAH,4,1,0
ABEL,16,0,1
ABELA,1,1,0
ABENA,16,1,0
ABENEZER,1,0,1
ABENI,2,1,0
ABHAY,13,0,1
ABHI,4,0,1
ABHIA,1,1,0
ABHIJAY,1,0,1
ABHIJEET,4,0,1
ABHIJIT,1,0,1
ABHIJITH,1,0,1
ABHIJOT,2,0,1
ABHIMANYU,1,0,1
ABHINAV,13,0,1
ABHIRAJ,5,0,1
ABHIRAM,6,0,1
ABHIRAMI,1,1,0
ABHISHEK,16,0,1
ABI,16,1,0
ABI-LEIGH,5,1,0
ABI-LOUISE,2,1,0
ABI-MAE,1,1,0
ABI-ROSE,1,1,0
ABIA,9,1,0
ABIBAT,1,1,0
ABIBATU,1,1,0
ABID,16,0,1
ABIDA,16,1,0
ABIDAH,10,1,0
ABIDEEN,1,0,1
ABIDEMI,1,1,0
ABIDUL,2,0,1
ABIDUR,12,0,1
ABIE,7,0.724489795918367,0.275510204081633
ABIEL,1,0,1
ABIGAEL,16,1,0
ABIGAIL,16,1,0
ABIGAIL-LOUISE,2,1,0
ABIGAIL-ROSE,1,1,0
ABIGAILE,7,1,0
ABIGALE,16,1,0
ABIGAYLE,16,1,0
ABIGEL,1,1,0
ABIHA,5,1,0
ABIJAH,1,0,1
ABILASH,3,0,1
ABIMBOLA,8,0.9375,0.0625
ABINA,3,1,0
ABINAASH,1,0,1
ABINASH,4,0,1
ABINAYA,12,1,0
ABINAYAN,1,0,1
ABINESH,2,0,1
ABIODUN,5,0.4,0.6
ABIOLA,12,0.447916666666667,0.552083333333333
ABIONA,1,1,0
ABIR,16,0.191169507575758,0.808830492424242
ABIRA,5,1,0
ABIRAMI,10,1,0
ABIRAMY,2,1,0
ABISAN,3,0,1
ABISHA,11,1,0
ABISHAI,1,0,1
ABISHAKE,1,0,1
ABISHAN,9,0,1
ABISHANTH,1,0,1
ABISHEK,7,0,1
ABISOLA,12,1,0
ABISOYE,1,1,0
ABITHA,2,1,0
ABIYA,1,1,0
ABIZER,1,0,1
ABLA,1,1,0
ABNER,2,0,1
ABOUBACAR,3,0,1
ABOUBAKAR,1,0,1
ABRA,1,1,0
ABRAAR,6,0.166666666666667,0.833333333333333
ABRAHAM,16,0,1
ABRAHIM,9,0,1
ABRAM,5,0,1
ABRAR,16,0.29880565206852,0.70119434793148
ABRIELLA,1,1,0
ABRIELLE,1,1,0
ABRIL,2,1,0
ABSAR,4,0,1
ABSHIR,5,0,1
ABU,16,0,1
ABU-BAKAR,9,0,1
ABU-BAKR,16,0,1
ABU-HURAIRA,1,0,1
ABU-SUFYAN,1,0,1
ABUBACARR,3,0,1
ABUBAKAR,16,0,1
ABUBAKARR,2,0,1
ABUBAKER,11,0,1
ABUBAKKAR,1,0,1
ABUBAKR,16,0,1
ABUHURAIRAH,1,0,1
ABUKAR,7,0,1
ABUL,13,0,1
ABUZAR,2,0,1
ABY,6,1,0
ABYAN,9,0.287274453941121,0.712725546058879
ABYGAIL,15,1,0
ABYGAYLE,1,1,0
ACACIA,16,1,0
ACE,15,0,1
ACELYA,11,1,0
ACER,15,0,1
ACHILLE,2,0,1
ACHILLES,5,0,1
ACHRAF,1,0,1
ACHSA,1,1,0
ACKEEM,2,0,1
ADA,16,0.974855731488459,0.0251442685115411
ADA-MAY,1,1,0
ADAAM,4,0,1
ADAEZE,15,1,0
ADAH,4,1,0
ADAIR,3,0,1
ADAL,6,0,1
ADALIA,2,1,0
ADALYN,2,1,0
ADAM,16,0,1
ADAM-JAMES,1,0,1
ADAMA,14,0.897069597069597,0.102930402930403
ADAMAS,2,0,1
ADAMO,1,0,1
ADAN,16,0.0827131759962049,0.917286824003795
ADANA,2,1,0
ADANNA,13,1,0
ADAOBI,2,1,0
ADAORA,7,1,0
ADAR,7,0.101190476190476,0.898809523809524
ADARA,12,1,0
ADARSH,11,0,1
ADAS,3,0,1
ADAUGO,1,1,0
ADDAM,5,0,1
ADDIE,2,1,0
ADDIEN,1,1,0
ADDIENA,1,1,0
ADDIS,1,0,1
ADDISON,16,0.183537413129789,0.816462586870211
ADDYSON,3,1,0
ADE,2,0,1
ADEA,7,1,0
ADEANA,1,1,0
ADEBAYO,6,0,1
ADEBISI,1,1,0
ADEBOLA,7,0.928571428571429,0.0714285714285714
ADEBOWALE,4,0,1
ADEBOYE,1,0,1
ADEDAMOLA,10,0,1
ADEDAPO,3,0,1
ADEDAYO,6,0.333333333333333,0.666666666666667
ADEDEJI,5,0,1
ADEDOLAPO,1,1,0
ADEDOTUN,3,0,1
ADEDOYIN,5,0.914285714285714,0.0857142857142857
ADEE,1,0,1
ADEEB,16,0,1
ADEEBA,16,1,0
ADEEBAH,1,1,0
ADEEL,16,0,1
ADEELA,13,1,0
ADEEM,1,0,1
ADEEN,2,0.5,0.5
ADEENA,14,1,0
ADEESA,1,1,0
ADEEVA,1,1,0
ADEKEMI,2,1,0
ADEKUNLE,5,0,1
ADEL,16,0.164769013666072,0.835230986333928
ADELA,16,1,0
ADELAIDE,16,1,0
ADELE,16,1,0
ADELEKE,1,0,1
ADELIA,2,1,0
ADELIE,1,1,0
ADELINA,11,1,0
ADELINE,15,1,0
ADELL,1,1,0
ADELLA,5,1,0
ADELLE,16,1,0
ADELYN,2,1,0
ADEM,16,0,1
ADEMAYOWA,1,0,1
ADEMIDE,5,0.06,0.94
ADEMOLA,15,0,1
ADEN,16,0.00903734110169492,0.990962658898305
ADENA,2,1,0
ADENIKE,10,1,0
ADENIYI,2,0,1
ADEOLA,16,0.878125,0.121875
ADEOLU,2,0,1
ADEOLUWA,9,0,1
ADEPEJU,1,1,0
ADEREMI,1,0,1
ADERINOLA,1,1,0
ADERINSOLA,7,1,0
ADERONKE,4,1,0
ADERYN,6,1,0
ADESEWA,2,1,0
ADESH,3,0,1
ADESOLA,6,1,0
ADESUWA,5,1,0
ADETAYO,1,0,1
ADETOKUNBO,6,0.0555555555555556,0.944444444444445
ADETOLA,6,0.5,0.5
ADETOMIWA,1,0,1
ADETOUN,1,1,0
ADETUNJI,1,0,1
ADETUTU,2,1,0
ADEWALE,8,0,1
ADEWONUOLA,2,1,0
ADEWUMI,1,0,1
ADEWUNMI,3,1,0
ADEYEMI,4,0,1
ADEYINKA,2,0.5,0.5
ADHAM,16,0,1
ADHAVAN,1,0,1
ADHNAN,2,0,1
ADHRIT,2,0,1
ADHVAITH,1,0,1
ADHYA,2,1,0
ADI,16,0.381809893323051,0.618190106676949
ADIA,8,1,0
ADIAN,1,0,1
ADIB,11,0,1
ADIBA,15,1,0
ADIBAH,2,1,0
ADIE,5,0,1
ADIEL,3,0.458333333333333,0.541666666666667
ADIL,16,0,1
ADILA,11,1,0
ADILAH,6,1,0
ADILSON,1,0,1
ADIN,6,0,1
ADINA,16,1,0
ADISA,4,0.75,0.25
ADISON,5,0,1
ADIT,7,0,1
ADITH,1,0,1
ADITHI,3,1,0
ADITHYA,8,0,1
ADITI,16,1,0
ADITRI,1,1,0
ADITYA,15,0,1
ADIVA,2,1,0
ADIY,2,0,1
ADIYAN,3,0,1
ADJA,1,1,0
ADJOA,8,1,0
ADLANE,1,0,1
ADLEY,6,0,1
ADN,2,1,0
ADNA,13,1,0
ADNAAN,16,0,1
ADNAN,16,0,1
ADOM,1,0,1
ADOMAS,5,0,1
ADON,8,0,1
ADONA,1,1,0
ADONAI,5,0.2,0.8
ADONAY,3,0,1
ADONIA,5,1,0
ADONIJAH,2,0,1
ADONIS,13,0,1
ADORA,8,1,0
ADREES,5,0,1
ADRIA,3,1,0
ADRIAAN,1,0,1
ADRIAN,16,0.000791139240506329,0.999208860759494
ADRIANA,16,1,0
ADRIANE,1,1,0
ADRIANNA,16,1,0
ADRIANNE,10,1,0
ADRIANO,14,0,1
ADRIANS,3,0,1
ADRIATIK,1,0,1
ADRIEL,10,0.045959595959596,0.954040404040404
ADRIEN,16,0.0234375,0.9765625
ADRIENNE,16,1,0
ADRIJA,3,1,0
ADRIJANA,1,1,0
ADRIJUS,3,0,1
ADRINA,2,1,0
ADRIS,2,0,1
ADRITA,1,1,0
ADVAIT,3,0,1
ADVAITH,4,0,1
ADVAY,5,0,1
ADVIK,4,0,1
ADVIKA,5,1,0
ADWIN,1,0,1
ADWOA,10,1,0
ADYA,2,1,0
ADYAAN,2,0,1
ADYAN,9,0,1
AEDAN,16,0,1
AEDDAN,5,0,1
AEDEN,4,0,1
AEISHA,2,1,0
AELA,6,1,0
AELFRED,1,0,1
AEMAN,1,1,0
AEMELIA,5,1,0
AEMILIA,8,1,0
AENEAS,1,0,1
AENGUS,5,0,1
AERIN,11,1,0
AERIS,3,1,0
AERON,16,0.0425480769230769,0.957451923076923
AERYN,12,1,0
AESHA,10,1,0
AEVA,1,1,0
AEVAH,1,1,0
AEYSHA,5,1,0
AFAAN,1,0,1
AFAF,2,1,0
AFAN,2,0,1
AFAQ,1,0,1
AFEEF,2,0,1
AFEEFA,5,1,0
AFEEFAH,13,1,0
AFET,1,1,0
AFFAAN,3,0,1
AFFAN,8,0,1
AFFIA,1,1,0
AFIA,15,1,0
AFIFA,15,1,0
AFIFAH,14,1,0
AFIQ,1,0,1
AFIRA,1,1,0
AFIYA,12,1,0
AFIYAH,8,1,0
AFIZAH,2,1,0
AFJOL,1,0,1
AFNAAN,1,1,0
AFNAN,14,0.832053545869335,0.167946454130665
AFOLABI,5,0,1
AFON,1,0,1
AFONSO,8,0,1
AFRA,15,1,0
AFRAA,4,1,0
AFRAH,12,1,0
AFRAZ,4,0,1
AFREEN,16,1,0
AFRICA,5,1,0
AFRIDA,1,1,0
AFRIKA,1,1,0
AFRIN,11,1,0
AFRINA,1,1,0
AFRUZA,1,1,0
AFSA,6,1,0
AFSAH,3,1,0
AFSANA,16,1,0
AFSAR,2,0,1
AFSARA,3,1,0
AFSHA,13,1,0
AFSHAH,4,1,0
AFSHAN,6,1,0
AFSHANA,1,1,0
AFSHEEN,9,1,0
AFTAB,10,0,1
AFTON,2,1,0
AFUA,10,1,0
AFZA,1,1,0
AFZAAL,3,0,1
AFZAL,15,0,1
AGAM,2,0,1
AGAMJOT,1,0,1
AGASTYA,5,0,1
AGATA,9,1,0
AGATHA,16,1,0
AGATHE,8,1,0
AGHA,6,0,1
AGIM,1,0,1
AGIT,3,0,1
AGNE,2,1,0
AGNES,16,1,0
AGNESA,4,1,0
AGNESE,4,1,0
AGNIESZKA,7,1,0
AGNIUS,1,0,1
AGON,2,0,1
AGOTA,2,1,0
AGRON,1,0,1
AGUSTIN,4,0,1
AHAAN,3,0,1
AHAB,1,0,1
AHAD,16,0,1
AHAMED,7,0,1
AHAN,4,0,1
AHANA,5,1,0
AHARON,15,0,1
AHDIA,1,1,0
AHEED,1,0,1
AHIL,2,0,1
AHLAAM,8,1,0
AHLAAN,1,1,0
AHLAM,16,1,0
AHLAN,2,1,0
AHMAD,16,0,1
AHMAR,2,0,1
AHMED,16,0,1
AHMER,3,0,1
AHMET,16,0,1
AHNAF,9,0,1
AHREN,9,0,1
AHRON,10,0,1
AHSAAN,3,0,1
AHSAN,16,0,1
AHSANUL,3,0,1
AHSEN,5,0,1
AHTSHAM,1,0,1
AHYAAN,4,0,1
AHYAN,6,0,1
AI,4,1,0
AIA,1,1,0
AIBHLINN,2,1,0
AICHA,16,1,0
AIDA,16,1,0
AIDAH,2,1,0
AIDAN,16,0.00115381574833759,0.998846184251662
AIDAS,2,0,1
AIDEEN,6,1,0
AIDEL,1,1,0
AIDEN,16,0.000639386189258312,0.999360613810742
AIDEN-JAMES,3,0,1
AIDEN-JAY,1,0,1
AIDEN-LEE,2,0,1
AIDON,6,0,1
AIDY,3,0.333333333333333,0.666666666666667
AIDYN,3,0,1
AIELA,1,1,0
AIESHA,16,1,0
AIFE,1,1,0
AIHAM,1,0,1
AIKA,2,1,0
AIKATERINI,2,1,0
AIKEN,2,0,1
AIKO,6,1,0
AILA,13,1,0
AILAH,3,1,0
AILANI,1,1,0
AILBE,4,0,1
AILBHE,5,0.8,0.2
AILEEN,16,1,0
AILIDH,1,1,0
AILIE,6,1,0
AILIS,12,1,0
AILISE,1,1,0
AILISH,16,1,0
AILISHA,3,1,0
AILLA,2,1,0
AILSA,16,1,0
AIMA,13,1,0
AIMAH,1,1,0
AIMAL,3,1,0
AIMAN,16,0.45350716991342,0.54649283008658
AIMAR,3,0,1
AIME,14,1,0
AIMEE,16,1,0
AIMEE-,2,1,0
AIMEE-GRACE,5,1,0
AIMEE-JANE,1,1,0
AIMEE-JAYNE,1,1,0
AIMEE-JO,2,1,0
AIMEE-LEA,2,1,0
AIMEE-LEE,7,1,0
AIMEE-LEIGH,15,1,0
AIMEE-LOUISE,15,1,0
AIMEE-MAE,1,1,0
AIMEE-MAY,2,1,0
AIMEE-ROSE,6,1,0
AIMEN,14,0.752705627705628,0.247294372294372
AIMI,7,1,0
AIMIE,16,1,0
AIMIEE,2,1,0
AIMUN,1,1,0
AIMY,2,1,0
AIN,1,1,0
AINA,11,1,0
AINARA,1,1,0
AINE,16,1,0
AINHOA,2,1,0
AINI,3,1,0
AINSLEIGH,2,0.785714285714286,0.214285714285714
AINSLEY,15,0.136453125821547,0.863546874178453
AINSLIE,2,0.5,0.5
AIRA,5,1,0
AIREN,2,0,1
AIRIDAS,4,0,1
AIRLIE,2,1,0
AIRON,7,0,1
AIRONAS,5,0,1
AISA,1,1,0
AISHA,16,1,0
AISHAH,16,1,0
AISHANI,10,1,0
AISHAT,16,1,0
AISHATU,1,1,0
AISHIA,4,1,0
AISHLING,5,1,0
AISHPREET,1,1,0
AISHWARYA,15,1,0
AISLA,6,1,0
AISLEYNE,1,1,0
AISLIN,7,1,0
AISLING,16,1,0
AISLINN,15,1,0
AISOSA,4,0.75,0.25
AISSATOU,5,1,0
AISTE,5,1,0
AISTIS,1,0,1
AISWARYA,1,1,0
AISYA,1,1,0
AISYAH,2,1,0
AITANA,3,1,0
AITOR,2,0,1
AIVA,6,1,0
AIVAH,2,1,0
AIYA,10,1,0
AIYAAN,1,0,1
AIYAN,2,0,1
AIYANA,14,1,0
AIYANNA,2,1,0
AIYESHA,3,1,0
AIYLA,6,1,0
AIYSHA,16,1,0
AIYZA,1,1,0
AIZA,13,1,0
AIZAH,10,1,0
AIZZA,2,1,0
AJ,10,0,1
AJA,6,1,0
AJAI,11,0,1
AJAN,2,0,1
AJANI,13,0,1
AJANTHAN,1,0,1
AJAX,1,0,1
AJAY,16,0,1
AJAZ,1,0,1
AJEET,11,0,1
AJHAR,2,0,1
AJI,9,1,0
AJIBOLA,2,0,1
AJIT,11,0,1
AJLA,4,1,0
AJMAL,13,0,1
AJUNI,1,1,0
AJWA,5,1,0
AJWAD,8,0,1
AKAAL,3,0,1
AKAALDEEP,1,0,1
AKAASH,15,0,1
AKAI,3,0,1
AKAIN,2,0,1
AKAM,5,0,1
AKANE,1,1,0
AKANKSHA,3,1,0
AKAR,2,0,1
AKARI,1,1,0
AKASH,16,0,1
AKASHA,13,1,0
AKASHDEEP,2,0,1
AKASYA,5,1,0
AKAYLA,2,1,0
AKAYSHA,1,1,0
AKBAR,16,0,1
AKBER,1,0,1
AKEAL,2,0,1
AKEEB,5,0,1
AKEEL,16,0,1
AKEELA,3,1,0
AKEELAH,5,1,0
AKEEM,16,0,1
AKEIN,1,0,1
AKEIRA,2,1,0
AKEISHA,1,1,0
AKEMI,1,1,0
AKHEEL,1,0,1
AKHIL,16,0,1
AKHLAQ,1,0,1
AKHSA,1,1,0
AKHTAR,3,0,1
AKI,2,0.5,0.5
AKIA,1,0,1
AKIB,13,0,1
AKIEL,3,0,1
AKIERA,1,1,0
AKIESHA,1,1,0
AKIF,15,0,1
AKIFA,1,1,0
AKIFAH,7,1,0
AKIKUR,1,0,1
AKIL,15,0,1
AKILA,8,1,0
AKILAH,10,1,0
AKIM,7,0,1
AKIN,10,0,1
AKINA,1,1,0
AKINLOLU,1,0,1
AKINOLA,4,0,1
AKINTAYO,1,0,1
AKINTOMIWA,1,0,1
AKINTUNDE,3,0,1
AKINYEMI,1,0,1
AKIO,1,0,1
AKIRA,16,0.560560685024358,0.439439314975642
AKISHA,2,1,0
AKITO,1,0,1
AKIVA,15,0,1
AKLIMA,11,1,0
AKMAL,11,0,1
AKOSUA,12,1,0
AKRAM,16,0,1
AKRITI,1,1,0
AKSA,15,1,0
AKSAA,1,1,0
AKSAH,7,1,0
AKSAYAN,1,0,1
AKSEL,6,0,1
AKSH,2,0,1
AKSHA,1,1,0
AKSHAJ,2,0,1
AKSHAN,1,0,1
AKSHANA,2,1,0
AKSHAR,8,0,1
AKSHARA,6,1,0
AKSHARAN,1,0,1
